component_id,lot_id,part_number,parameter,time_h,value,unit,test_condition_id,temperature_c,voltage_v,test_mode,tester_id,chamber_id,socket_id,is_anomaly,defect_type,qa_approved
LOT_001_C0001,LOT_001,PN_LOGIC_A,leakage_current,0.0,12.98861771,uA,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,iddq,0.0,28.90042613,uA,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,propagation_delay,0.0,6.49659053,ns,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,output_high_voltage,0.0,3.26977113,V,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,threshold_voltage,0.0,0.67710819,V,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,leakage_current,24.0,13.12650295,uA,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,iddq,24.0,29.06589668,uA,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,propagation_delay,24.0,6.42769596,ns,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,output_high_voltage,24.0,3.27901242,V,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,threshold_voltage,24.0,0.68391954,V,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,leakage_current,96.0,13.00829165,uA,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,iddq,96.0,28.97558487,uA,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,propagation_delay,96.0,6.57912712,ns,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,output_high_voltage,96.0,3.25507265,V,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,threshold_voltage,96.0,0.69912035,V,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,leakage_current,168.0,13.09522145,uA,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,iddq,168.0,29.66315192,uA,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,propagation_delay,168.0,6.68646527,ns,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,output_high_voltage,168.0,3.22989662,V,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0001,LOT_001,PN_LOGIC_A,threshold_voltage,168.0,0.69981703,V,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T1,CH1,S01,False,normal,True
LOT_001_C0002,LOT_001,PN_LOGIC_A,leakage_current,0.0,9.32161862,uA,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T2,CH1,S02,False,normal,True
LOT_001_C0002,LOT_001,PN_LOGIC_A,iddq,0.0,19.86140622,uA,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T2,CH1,S02,False,normal,True
LOT_001_C0002,LOT_001,PN_LOGIC_A,propagation_delay,0.0,4.66810941,ns,PN_LOGIC_A_125C_NOMINAL,125.0,3.3,static_bias,T2,CH1,S02,False,normal,True
